PIN DELAY,
REFDES BGA,
DEVICE BGA,
,
A12,0.13214 ns
A14,0.13759 ns
A15,0.13647 ns
A17,0.13201 ns
A18,0.12856 ns
A20,0.13668 ns
A21,0.152 ns
A23,0.14081 ns
A24,0.17426 ns
A26,0.14371 ns
A27,0.14159 ns
A29,0.13858 ns
A32,0.14254 ns
A33,0.14533 ns
A35,0.15249 ns
A36,0.1686 ns
A38,0.14691 ns
A39,0.1426 ns
A44,0.16103 ns
A45,0.15991 ns
A6,0.12435 ns
A8,0.12589 ns
A9,0.12104 ns
AA1,0.04379 ns
AA3,0.04735 ns
AA4,0.05033 ns
AA46,0.04895 ns
AA47,0.05033 ns
AA48,0.04735 ns
AA5,0.04845 ns
AA50,0.04379 ns
AC1,0.04316 ns
AC2,0.04132 ns
AC3,0.06582 ns
AC48,0.06582 ns
AC49,0.04132 ns
AC50,0.04316 ns
AD1,0.04292 ns
AD3,0.07273 ns
AD4,0.07455 ns
AD47,0.07455 ns
AD48,0.07273 ns
AD50,0.04292 ns
AG1,0.04621 ns
AG3,0.03686 ns
AG4,0.03524 ns
AG47,0.03589 ns
AG48,0.03686 ns
AG50,0.04621 ns
AH1,0.05321 ns
AH2,0.04693 ns
AH3,0.03565 ns
AH48,0.03565 ns
AH49,0.04693 ns
AH50,0.05321 ns
AK1,0.05746 ns
AK3,0.0347 ns
AK4,0.03061 ns
AK46,0.05701 ns
AK47,0.03061 ns
AK48,0.0347 ns
AK5,0.057 ns
AK50,0.05746 ns
AL1,0.06331 ns
AL2,0.0549 ns
AL3,0.04098 ns
AL45,0.08667 ns
AL46,0.08192 ns
AL48,0.04098 ns
AL49,0.0549 ns
AL5,0.08192 ns
AL50,0.06331 ns
AL6,0.08667 ns
AN1,0.06354 ns
AN3,0.04206 ns
AN46,0.08619 ns
AN48,0.04206 ns
AN5,0.0862 ns
AN50,0.06353 ns
AP1,0.06362 ns
AP3,0.04226 ns
AP45,0.08386 ns
AP46,0.08835 ns
AP48,0.04225 ns
AP5,0.08835 ns
AP50,0.06362 ns
AP6,0.08386 ns
AT1,0.07251 ns
AT3,0.04558 ns
AT4,0.04568 ns
AT46,0.06175 ns
AT47,0.04568 ns
AT48,0.04558 ns
AT5,0.06175 ns
AT50,0.07251 ns
AU1,0.07928 ns
AU2,0.0771 ns
AU3,0.04764 ns
AU46,0.06629 ns
AU48,0.04764 ns
AU49,0.0771 ns
AU5,0.06637 ns
AU50,0.07928 ns
AW1,0.07423 ns
AW3,0.05201 ns
AW4,0.04585 ns
AW46,0.05478 ns
AW47,0.04585 ns
AW48,0.05201 ns
AW5,0.05478 ns
AW50,0.07423 ns
AY1,0.07919 ns
AY2,0.07364 ns
AY3,0.05101 ns
AY48,0.05095 ns
AY49,0.07364 ns
AY50,0.07919 ns
B12,0.11869 ns
B14,0.12483 ns
B15,0.12019 ns
B17,0.13099 ns
B18,0.13006 ns
B2,0.06742 ns
B20,0.13499 ns
B21,0.13648 ns
B23,0.14344 ns
B24,0.17914 ns
B26,0.13661 ns
B27,0.14056 ns
B29,0.17335 ns
B32,0.13836 ns
B33,0.11807 ns
B35,0.12738 ns
B36,0.13885 ns
B38,0.15693 ns
B39,0.16632 ns
B4,0.04488 ns
B41,0.18464 ns
B42,0.12942 ns
B44,0.15696 ns
B45,0.13389 ns
B47,0.04488 ns
B49,0.06742 ns
B6,0.12811 ns
B8,0.11386 ns
B9,0.11515 ns
BA46,0.06539 ns
BA5,0.06539 ns
BB1,0.08367 ns
BB2,0.08068 ns
BB3,0.05554 ns
BB46,0.06519 ns
BB48,0.05554 ns
BB49,0.08066 ns
BB5,0.0652 ns
BB50,0.08367 ns
BC4,0.05657 ns
BC47,0.05657 ns
BD1,0.08716 ns
BD3,0.06405 ns
BD46,0.07105 ns
BD48,0.0641 ns
BD5,0.07105 ns
BD50,0.08725 ns
BE1,0.08711 ns
BE10,0.04114 ns
BE11,0.03767 ns
BE3,0.06412 ns
BE48,0.0642 ns
BE50,0.0872 ns
BF10,0.036 ns
BF11,0.03917 ns
BG1,0.09356 ns
BG10,0.04037 ns
BG11,0.03865 ns
BG13,0.04894 ns
BG15,0.04591 ns
BG17,0.04261 ns
BG19,0.03933 ns
BG21,0.03902 ns
BG23,0.03601 ns
BG25,0.03367 ns
BG27,0.03031 ns
BG29,0.01609 ns
BG3,0.06725 ns
BG31,0.02295 ns
BG33,0.02103 ns
BG35,0.02095 ns
BG37,0.02273 ns
BG39,0.02304 ns
BG41,0.02555 ns
BG43,0.02839 ns
BG45,0.03102 ns
BG48,0.06725 ns
BG50,0.09356 ns
BG6,0.04641 ns
BG7,0.04483 ns
BG8,0.04967 ns
BH1,0.10066 ns
BH10,0.0419 ns
BH11,0.04405 ns
BH13,0.04868 ns
BH15,0.04587 ns
BH17,0.04241 ns
BH19,0.03908 ns
BH2,0.0935 ns
BH21,0.03902 ns
BH23,0.03588 ns
BH25,0.03361 ns
BH27,0.03015 ns
BH29,0.01684 ns
BH3,0.06584 ns
BH31,0.02273 ns
BH33,0.02083 ns
BH35,0.02069 ns
BH37,0.02251 ns
BH39,0.02277 ns
BH4,0.06404 ns
BH41,0.02526 ns
BH43,0.02818 ns
BH45,0.03081 ns
BH47,0.06416 ns
BH48,0.06584 ns
BH49,0.09355 ns
BH50,0.10066 ns
BH6,0.04761 ns
BH7,0.04588 ns
BH8,0.05265 ns
BJ10,0.04192 ns
BJ12,0.05184 ns
BJ14,0.04864 ns
BJ16,0.04556 ns
BJ18,0.04221 ns
